PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
892,3,"Kelly, Mr. James",1,34.5,0,0,330911,7.8292,B57 B59 B63 B66,1,0
893,3,"Wilkes, Mrs. James (Ellen Needs)",0,47.0,1,0,363272,7.0,B57 B59 B63 B66,2,0
894,2,"Myles, Mr. Thomas Francis",1,62.0,0,0,240276,9.6875,B57 B59 B63 B66,1,0
895,3,"Wirz, Mr. Albert",1,27.0,0,0,315154,8.6625,B57 B59 B63 B66,2,0
896,3,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",0,22.0,1,1,3101298,12.2875,B57 B59 B63 B66,2,0
897,3,"Svensson, Mr. Johan Cervin",1,14.0,0,0,7538,9.225,B57 B59 B63 B66,2,0
898,3,"Connolly, Miss. Kate",0,30.0,0,0,330972,7.6292,B57 B59 B63 B66,1,1
899,2,"Caldwell, Mr. Albert Francis",1,26.0,1,1,248738,29.0,B57 B59 B63 B66,2,0
900,3,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",0,18.0,0,0,2657,7.2292,B57 B59 B63 B66,0,1
901,3,"Davies, Mr. John Samuel",1,21.0,2,0,A/4 48871,24.15,B57 B59 B63 B66,2,0
902,3,"Ilieff, Mr. Ylio",1,30.272590361445783,0,0,349220,7.8958,B57 B59 B63 B66,2,0
903,1,"Jones, Mr. Charles Cresson",1,46.0,0,0,694,26.0,B57 B59 B63 B66,2,1
904,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",0,23.0,1,0,21228,82.2667,B45,2,1
905,2,"Howard, Mr. Benjamin",1,63.0,1,0,24065,26.0,B57 B59 B63 B66,2,0
906,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",0,47.0,1,0,W.E.P. 5734,61.175,E31,2,1
907,2,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",0,24.0,1,0,SC/PARIS 2167,27.7208,B57 B59 B63 B66,0,1
908,2,"Keane, Mr. Daniel",1,35.0,0,0,233734,12.35,B57 B59 B63 B66,1,0
909,3,"Assaf, Mr. Gerios",1,21.0,0,0,2692,7.225,B57 B59 B63 B66,0,1
910,3,"Ilmakangas, Miss. Ida Livija",0,27.0,1,0,STON/O2. 3101270,7.925,B57 B59 B63 B66,2,0
911,3,"Assaf Khalil, Mrs. Mariana (Miriam"")""",0,45.0,0,0,2696,7.225,B57 B59 B63 B66,0,0
912,1,"Rothschild, Mr. Martin",1,55.0,1,0,PC 17603,59.4,B57 B59 B63 B66,0,0
913,3,"Olsen, Master. Artur Karl",1,9.0,0,1,C 17368,3.1708,B57 B59 B63 B66,2,0
914,1,"Flegenheim, Mrs. Alfred (Antoinette)",0,30.272590361445783,0,0,PC 17598,31.6833,B57 B59 B63 B66,2,1
915,1,"Williams, Mr. Richard Norris II",1,21.0,0,1,PC 17597,61.3792,B57 B59 B63 B66,0,1
916,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",0,48.0,1,3,PC 17608,262.375,B57 B59 B63 B66,0,1
917,3,"Robins, Mr. Alexander A",1,50.0,1,0,A/5. 3337,14.5,B57 B59 B63 B66,2,0
918,1,"Ostby, Miss. Helene Ragnhild",0,22.0,0,1,113509,61.9792,B36,0,1
919,3,"Daher, Mr. Shedid",1,22.5,0,0,2698,7.225,B57 B59 B63 B66,0,1
920,1,"Brady, Mr. John Bertram",1,41.0,0,0,113054,30.5,A21,2,1
921,3,"Samaan, Mr. Elias",1,30.272590361445783,2,0,2662,21.6792,B57 B59 B63 B66,0,1
922,2,"Louch, Mr. Charles Alexander",1,50.0,1,0,SC/AH 3085,26.0,B57 B59 B63 B66,2,0
923,2,"Jefferys, Mr. Clifford Thomas",1,24.0,2,0,C.A. 31029,31.5,B57 B59 B63 B66,2,0
924,3,"Dean, Mrs. Bertram (Eva Georgetta Light)",0,33.0,1,2,C.A. 2315,20.575,B57 B59 B63 B66,2,1
925,3,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",0,30.272590361445783,1,2,W./C. 6607,23.45,B57 B59 B63 B66,2,0
926,1,"Mock, Mr. Philipp Edmund",1,30.0,1,0,13236,57.75,C78,0,0
927,3,"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",1,18.5,0,0,2682,7.2292,B57 B59 B63 B66,0,1
928,3,"Roth, Miss. Sarah A",0,30.272590361445783,0,0,342712,8.05,B57 B59 B63 B66,2,0
929,3,"Cacic, Miss. Manda",0,21.0,0,0,315087,8.6625,B57 B59 B63 B66,2,0
930,3,"Sap, Mr. Julius",1,25.0,0,0,345768,9.5,B57 B59 B63 B66,2,0
931,3,"Hee, Mr. Ling",1,30.272590361445783,0,0,1601,56.4958,B57 B59 B63 B66,2,0
932,3,"Karun, Mr. Franz",1,39.0,0,1,349256,13.4167,B57 B59 B63 B66,0,0
933,1,"Franklin, Mr. Thomas Parham",1,30.272590361445783,0,0,113778,26.55,D34,2,1
934,3,"Goldsmith, Mr. Nathan",1,41.0,0,0,SOTON/O.Q. 3101263,7.85,B57 B59 B63 B66,2,0
935,2,"Corbett, Mrs. Walter H (Irene Colvin)",0,30.0,0,0,237249,13.0,B57 B59 B63 B66,2,1
936,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",0,45.0,1,0,11753,52.5542,D19,2,1
937,3,"Peltomaki, Mr. Nikolai Johannes",1,25.0,0,0,STON/O 2. 3101291,7.925,B57 B59 B63 B66,2,0
938,1,"Chevre, Mr. Paul Romaine",1,45.0,0,0,PC 17594,29.7,A9,0,1
939,3,"Shaughnessy, Mr. Patrick",1,30.272590361445783,0,0,370374,7.75,B57 B59 B63 B66,1,0
940,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",0,60.0,0,0,11813,76.2917,D15,0,1
941,3,"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",0,36.0,0,2,C.A. 37671,15.9,B57 B59 B63 B66,2,1
942,1,"Smith, Mr. Lucien Philip",1,24.0,1,0,13695,60.0,C31,2,0
943,2,"Pulbaum, Mr. Franz",1,27.0,0,0,SC/PARIS 2168,15.0333,B57 B59 B63 B66,0,0
944,2,"Hocking, Miss. Ellen Nellie""""",0,20.0,2,1,29105,23.0,B57 B59 B63 B66,2,1
945,1,"Fortune, Miss. Ethel Flora",0,28.0,3,2,19950,263.0,C23 C25 C27,2,0
946,2,"Mangiavacchi, Mr. Serafino Emilio",1,30.272590361445783,0,0,SC/A.3 2861,15.5792,B57 B59 B63 B66,0,0
947,3,"Rice, Master. Albert",1,10.0,4,1,382652,29.125,B57 B59 B63 B66,1,0
948,3,"Cor, Mr. Bartol",1,35.0,0,0,349230,7.8958,B57 B59 B63 B66,2,0
949,3,"Abelseth, Mr. Olaus Jorgensen",1,25.0,0,0,348122,7.65,F G63,2,0
950,3,"Davison, Mr. Thomas Henry",1,30.272590361445783,1,0,386525,16.1,B57 B59 B63 B66,2,0
951,1,"Chaudanson, Miss. Victorine",0,36.0,0,0,PC 17608,262.375,B61,0,1
952,3,"Dika, Mr. Mirko",1,17.0,0,0,349232,7.8958,B57 B59 B63 B66,2,0
953,2,"McCrae, Mr. Arthur Gordon",1,32.0,0,0,237216,13.5,B57 B59 B63 B66,2,0
954,3,"Bjorklund, Mr. Ernst Herbert",1,18.0,0,0,347090,7.75,B57 B59 B63 B66,2,0
955,3,"Bradley, Miss. Bridget Delia",0,22.0,0,0,334914,7.725,B57 B59 B63 B66,1,1
956,1,"Ryerson, Master. John Borie",1,13.0,2,2,PC 17608,262.375,B57 B59 B63 B66,0,1
